id,uri,label,description
entity,https://ikna.io/DW-VA-Taxonomy/taxonomies/entities#entity,Entity,An actor is anything playing an active role in Darknets or Cryptoasset ecosystems. This subsumes individuals and organizations as well as automated services fulfilling a certain function in such environments.
organization,https://ikna.io/DW-VA-Taxonomy/taxonomies/entities#organization,Organization,"An organization represents some social institution, such as public services or companies."
user,https://ikna.io/DW-VA-Taxonomy/taxonomies/entities#user,User,A user is a person who utilizes Darknet or Cryptoasset infrastructures and / or offered services.
item,https://ikna.io/DW-VA-Taxonomy/taxonomies/entities#item,Digital Item,An intangible asset or piece of media that doesn't have physical form or substance and can be sold or shared online.
service,https://ikna.io/DW-VA-Taxonomy/taxonomies/entities#service,Service,A service refers to some software functionality or a set of software functionalities that can be used by different actors for difffent purposes.
exchange,https://ikna.io/DW-VA-Taxonomy/taxonomies/entities#exchange,Exchange,"A centralized cryptocurrency exchange (CEX) is a business that allows customers to trade cryptocurrencies or digital currencies for other assets, such as conventional fiat money or other digital currencies."
wallet_service,https://ikna.io/DW-VA-Taxonomy/taxonomies/entities#wallet_service,Wallet Service,A wallet service is a software or web service that custodizes and utilizes cryptoasset keys on behalf of their users.
escrow_wallet,https://ikna.io/DW-VA-Taxonomy/taxonomies/entities#escrow_wallet,Escrow Wallet,An escrow service is a mediator service that keeps the money for a transaction in safekeeping until the coins are handed over.
ico_wallet,https://ikna.io/DW-VA-Taxonomy/taxonomies/entities#ico_wallet,ICO Wallet,A wallet that has been used for Initial Coin Offerings (ICOs).
cold_wallet,https://ikna.io/DW-VA-Taxonomy/taxonomies/entities#cold_wallet,Cold Wallet,A wallet that is not connected to the Internet and controlled by some user.
filesharing,https://ikna.io/DW-VA-Taxonomy/taxonomies/entities#filesharing,File Sharing,"A file sharing service provides access to digital media, such as computer programs, multimedia (audio, images and video), documents or electronic books."
index,https://ikna.io/DW-VA-Taxonomy/taxonomies/entities#index,Index,An index refers the contents of other websites in the Dark- or Clearnet.
market,https://ikna.io/DW-VA-Taxonomy/taxonomies/entities#market,Market,"A market, or marketplace, is an online location where users purchase and sale  legitimate or illegitimate goods and services."
messaging_service,https://ikna.io/DW-VA-Taxonomy/taxonomies/entities#messaging_service,Messaging Service,A messaging service is a type of online chat that offers real-time transmission of messages over the Internet.
mixing_service,https://ikna.io/DW-VA-Taxonomy/taxonomies/entities#mixing_service,Mixing Service,"A tumbler or mixing service is a service offered to mix potentially identifiable or 'tainted' cryptoasset funds with others, so as to obscure the trail back to the fund's original source. Tumblers have arisen to improve the anonymity of cryptocurrencies, usually bitcoin (hence Bitcoin mixer), since the currencies provide a public ledger of all transactions."
coinjoin,https://ikna.io/DW-VA-Taxonomy/taxonomies/entities#coinjoin,CoinJoin,"CoinJoin is an anonymization strategy that protects the privacy of Bitcoin users when they conduct transactions with each other, obscuring the sources and destinations of BTC used in transactions."
miner,https://ikna.io/DW-VA-Taxonomy/taxonomies/entities#miner,Miner,A service that processes and verifies transactions for various forms of cryptoassets and creates blocks to be added to the blockchain digital ledger.
mining_service,https://ikna.io/DW-VA-Taxonomy/taxonomies/entities#mining_service,Mining as a Service,A software and computing infrastructure that allows mining of cryptoassets in the cloud
gambling,https://ikna.io/DW-VA-Taxonomy/taxonomies/entities#gambling,Gambling Service,"A gambling service support the wagering of money or something of value (e.g., tokens) on an event with an uncertain outcome, with the primary intent of winning money or material goods."
search_engine,https://ikna.io/DW-VA-Taxonomy/taxonomies/entities#search_engine,Search Engine,"A web search engine or Internet search engine is a software system that is designed to carry out web search (Internet search), which means to search the World Wide Web in a systematic way for particular information specified in a textual web search query. The search results are generally presented in a line of results, often referred to as search engine results pages (SERPs). The information may be a mix of links to web pages, images, videos, infographics, articles, research papers, and other types of files."
shop,https://ikna.io/DW-VA-Taxonomy/taxonomies/entities#shop,Shop,A shop allows consumers to directly buy goods or services from a seller over the Internet using a web browser.
faucet,https://ikna.io/DW-VA-Taxonomy/taxonomies/entities#faucet,Faucet,A faucet can be defined as a reward system from which small amounts of coins can be rewarded
payment_processor,https://ikna.io/DW-VA-Taxonomy/taxonomies/entities#payment_processor,Payment Processor,A platform for online transactions that serves as a gateway and helps companies accept payments in cryptocurrencies
atm,https://ikna.io/DW-VA-Taxonomy/taxonomies/entities#atm,Cryptoasset ATM,A physical kiosk that allows users to exchange cryptoassets and fiat currencies.
defi,https://ikna.io/DW-VA-Taxonomy/taxonomies/entities#defi,DeFi Protocol,A program offering financial services in the form of smart contracts.
defi_lending,https://ikna.io/DW-VA-Taxonomy/taxonomies/entities#defi_lending,Lending Protocol,A DeFi protocol that lets users lend and borrow cryptoassets without having to go through a centralized intermediary
defi_dex,https://ikna.io/DW-VA-Taxonomy/taxonomies/entities#defi_dex,Decentralized Exchange (DEX),A type of cryptocurrency exchange which allows for direct peer-to-peer cryptocurrency transactions to take place online securely and without the need for an intermediary.
defi_derivative,https://ikna.io/DW-VA-Taxonomy/taxonomies/entities#defi_derivative,Derivative,A contract between two or more parties whose value is based on an agreed-upon underlying financial (crypto)asset.
collectible,https://ikna.io/DW-VA-Taxonomy/taxonomies/entities#collectible,Collectible,A collectible refers to an item that is worth far more than it was originally sold for because of its rarity and/or popularity.
