id,uri,label,description
scam,https://ikna.io/DW-VA-Taxonomy/taxonomies/abuses#scam,Scam,Scam denotes a fraudulent or deceptive act or operation.
extortion,https://ikna.io/DW-VA-Taxonomy/taxonomies/abuses#extortion,Extortion,Extortion denotes the act or practice of extorting especially money or other property.
sextortion,https://ikna.io/DW-VA-Taxonomy/taxonomies/abuses#sextortion,Sextortion,"Sextortion refers to the broad category of sexual exploitation in which abuse of power is the means of coercion, as well as to the category of sexual exploitation in which threatened release of sexual images or information is the means of coercion."
phishing,https://ikna.io/DW-VA-Taxonomy/taxonomies/abuses#phishing,Phishing,"Phishing is the fraudulent attempt to obtain sensitive information such as usernames, passwords and credit card details by disguising oneself as a trustworthy entity in an electronic communication."
service_hack,https://ikna.io/DW-VA-Taxonomy/taxonomies/abuses#service_hack,Service Hack,A service hack denotes the digital intrusion into a service with the goal to steal funds.
ransomware,https://ikna.io/DW-VA-Taxonomy/taxonomies/abuses#ransomware,Ransomware,Ransomware is a type of malware from cryptovirology that threatens to publish the victim's data or perpetually block access to it unless a ransom is paid.
investment_fraud,https://ikna.io/DW-VA-Taxonomy/taxonomies/abuses#investment_fraud,Investment Fraud,"Investment fraud involves the illegal sale or purported sale of financial instruments. The typical investment fraud schemes are characterized by offers of low- or no-risk investments, guaranteed returns, overly-consistent returns, complex strategies, or unregistered securities."
ponzi_scheme,https://ikna.io/DW-VA-Taxonomy/taxonomies/abuses#ponzi_scheme,Ponzi Scheme,"Ponzi schemes promise high financial returns or dividends not available through traditional investments. Instead of investing the funds of victims, however, the con artist pays dividends to initial investors using the funds of subsequent investors. The scheme generally falls apart when the operator flees with all of the proceeds or when a sufficient number of new investors cannot be found to allow the continued payment of dividends."
pyramid_scheme,https://ikna.io/DW-VA-Taxonomy/taxonomies/abuses#pyramid_scheme,Pyramid Scheme,"As in Ponzi schemes, the money collected from newer victims of pyramid schemes is paid to earlier victims to provide a veneer of legitimacy. In pyramid schemes, however, the victims themselves are induced to recruit further victims through the payment of recruitment commissions."
sanction,https://ikna.io/DW-VA-Taxonomy/taxonomies/abuses#sanction,Sanction List,An entry appears on a sanction list published by governments and international authorities to combat illegal activities.
extremism,https://ikna.io/DW-VA-Taxonomy/taxonomies/abuses#extremism,Violent Extremism,"Serially or systematically dehumanize others, frequently express hate speech towards opponents, perform selective/ individual acts of violence, actively separate targets from society, active discrimination."
terrorism,https://ikna.io/DW-VA-Taxonomy/taxonomies/abuses#terrorism,Terrorism,"Endorse, promote, or enact physical violence towards out-, in-group or infrastructure."
dark_web,https://ikna.io/DW-VA-Taxonomy/taxonomies/abuses#dark_web,Dark web,"Illegal Web content or service offerings exposed via darknets overlay networks, which are only through networks such as Tor."
